transaction_id,customer_id,product_category,purchase_amount,payment_method,purchase_date
T000000,C4853,Toys,150.15,Gift Card,8/23/2024
T000001,C5982,Toys,98.75,Credit Card,8/16/2024
T000002,C5517,Beauty,13.56,Gift Card,12/24/2024
T000003,C1965,Clothing,18.73,Credit Card,8/12/2024
T000004,C9636,Beauty,43.63,Crypto,7/14/2024
T000005,C7410,Beauty,59.4,Credit Card,11/14/2024
T000006,C5720,Electronics,212.83,Gift Card,3/28/2025
T000007,C2036,Electronics,22.94,PayPal,8/14/2024
T000008,C3177,Clothing,3.22,PayPal,6/26/2025
T000009,C1133,Clothing,53.62,Crypto,3/4/2025
T000010,C5127,Beauty,36.26,Gift Card,10/12/2024
T000011,C7091,Electronics,15.73,Gift Card,6/9/2025
T000012,C6980,Electronics,63.84,Gift Card,3/29/2025
T000013,C8944,Beauty,31.39,PayPal,7/22/2024
T000014,C1022,Home,132.01,Gift Card,9/1/2024
T000015,C9514,Toys,19.62,Crypto,10/8/2024
T000016,C8278,Clothing,11.1,Crypto,9/24/2024
T000017,C7206,Toys,38.36,Gift Card,4/13/2025
T000018,C2029,Beauty,19.15,Gift Card,7/21/2024
T000019,C2551,Clothing,49.87,Gift Card,1/31/2025
T000020,C9478,Toys,174.25,Crypto,4/29/2025
T000021,C6411,Electronics,14.88,Credit Card,10/17/2024
T000022,C5014,Electronics,19.83,Crypto,2/2/2025
T000023,C5198,Clothing,82.22,Credit Card,7/13/2024
T000024,C5779,Electronics,39.91,Crypto,1/8/2025
T000025,C6809,Clothing,26.09,PayPal,10/7/2024
T000026,C5682,Home,126.05,PayPal,7/3/2024
T000027,C5211,Beauty,159.71,PayPal,3/2/2025
T000028,C5126,Beauty,2.87,Credit Card,3/26/2025
T000029,C8987,Home,101.29,Gift Card,9/2/2024
T000030,C5860,Toys,43.28,Crypto,6/2/2025
T000031,C2757,Home,108.67,Gift Card,1/7/2025
T000032,C1230,Toys,64.06,Gift Card,7/2/2024
T000033,C5112,Toys,15.39,Credit Card,11/6/2024
T000034,C8383,Clothing,11.96,Gift Card,6/23/2025
T000035,C4577,Electronics,107.51,PayPal,4/30/2025
T000036,C4019,Home,91.8,Gift Card,10/13/2024
T000037,C4202,Toys,64.74,Gift Card,9/18/2024
T000038,C5778,Beauty,1.39,Gift Card,10/21/2024
T000039,C5373,Electronics,30.67,Credit Card,3/1/2025
T000040,C3444,Toys,80.75,Credit Card,9/28/2024
T000041,C7949,Clothing,1.66,PayPal,3/30/2025
T000042,C5622,Toys,52.65,Gift Card,8/10/2024
T000043,C5787,Beauty,31.66,Credit Card,2/6/2025
T000044,C6477,Beauty,23.56,Crypto,12/19/2024
T000045,C9711,Beauty,33.86,Gift Card,2/4/2025
T000046,C6183,Beauty,22.81,PayPal,3/8/2025
T000047,C9128,Clothing,77.56,PayPal,1/16/2025
T000048,C9664,Beauty,16.77,Gift Card,8/4/2024
T000049,C8294,Electronics,10.06,Gift Card,4/16/2025
T000050,C8601,Home,38.01,Credit Card,6/12/2025
T000051,C5376,Toys,149.56,PayPal,7/8/2024
T000052,C1260,Toys,58.06,PayPal,9/4/2024
T000053,C6384,Home,152.28,Credit Card,1/8/2025
T000054,C9721,Home,169.05,Crypto,1/18/2025
T000055,C9450,Clothing,20.37,Gift Card,9/16/2024
T000056,C2843,Electronics,354.6,Credit Card,7/27/2024
T000057,C8327,Clothing,32.33,Gift Card,9/4/2024
T000058,C5838,Beauty,94.82,Gift Card,1/1/2025
T000059,C4592,Clothing,47.54,PayPal,10/18/2024
T000060,C9417,Electronics,174.79,Credit Card,7/11/2024
T000061,C7083,Beauty,17.35,Crypto,5/7/2025
T000062,C8082,Toys,74.7,Crypto,3/15/2025
T000063,C1540,Beauty,37,PayPal,1/22/2025
T000064,C3180,Toys,0.8,Crypto,12/28/2024
T000065,C8317,Electronics,60.12,PayPal,10/3/2024
T000066,C5846,Home,21.08,Crypto,8/14/2024
T000067,C4273,Home,346.03,Credit Card,2/6/2025
T000068,C9739,Toys,69.72,Credit Card,10/7/2024
T000069,C5163,Clothing,18.39,PayPal,12/24/2024
T000070,C9724,Electronics,49.35,Gift Card,5/8/2025
T000071,C7948,Electronics,16.61,Crypto,11/25/2024
